ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),PROXIMITY (i),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.03831,0.11013,9.76834,8.0,53.5815,,,,NaN,,,,0 / 0,73023,2022-03-18 12:16:47:929
0.0431,0.07183,9.76834,8.0,54.09,,,,NaN,,,,0 / 0,73524,2022-03-18 12:16:48:430
0.05746,0.09577,9.77313,8.0,54.9747,,,,NaN,,,,0 / 0,74024,2022-03-18 12:16:48:930
0.0431,0.1245,9.7875,8.0,62.4428,,,,NaN,,,,0 / 0,74524,2022-03-18 12:16:49:430
0.02873,0.10534,9.77313,8.0,65.1247,,,,NaN,,,,0 / 0,75023,2022-03-18 12:16:49:929
0.05267,0.11013,9.79707,8.0,61.7691,,,,NaN,,,,0 / 0,75523,2022-03-18 12:16:50:429
0.0431,0.11492,9.7875,8.0,54.5206,,,,NaN,,,,0 / 0,76024,2022-03-18 12:16:50:930
0.02873,0.11492,9.79229,8.0,47.451,,,,NaN,,,,0 / 0,76524,2022-03-18 12:16:51:430
0.07183,0.10534,9.7875,8.0,44.797,,,,NaN,,,,0 / 0,77024,2022-03-18 12:16:51:930
0.0431,0.1245,9.77313,8.0,55.9966,,,,NaN,,,,0 / 0,77524,2022-03-18 12:16:52:430
0.01915,0.13408,9.76834,8.0,56.8745,,,,NaN,,,,0 / 0,78024,2022-03-18 12:16:52:930
0.02394,0.11013,9.79707,8.0,56.9795,,,,NaN,,,,0 / 0,78524,2022-03-18 12:16:53:430
0.04788,0.09577,9.79229,8.0,56.3313,,,,NaN,,,,0 / 0,79024,2022-03-18 12:16:53:930
0.04788,0.10534,9.75877,8.0,60.7416,,,,NaN,,,,0 / 0,79524,2022-03-18 12:16:54:430
0.0431,0.09577,9.7875,8.0,51.0493,,,,NaN,,,,0 / 0,80023,2022-03-18 12:16:54:929
0.01915,0.08619,9.76834,8.0,59.0167,,,,NaN,,,,0 / 0,80523,2022-03-18 12:16:55:429
0.01915,0.1245,9.76355,8.0,58.8417,,,,NaN,,,,0 / 0,81024,2022-03-18 12:16:55:930
0.04788,0.1245,9.72525,8.0,57.3509,,,,NaN,,,,0 / 0,81524,2022-03-18 12:16:56:430
0.02394,0.11013,9.78271,8.0,65.3226,,,,NaN,,,,0 / 0,82024,2022-03-18 12:16:56:930
0.03352,0.1245,9.77313,8.0,64.6307,,,,NaN,,,,0 / 0,82524,2022-03-18 12:16:57:430
0.02873,0.09098,9.77313,8.0,44.6561,,,,NaN,,,,0 / 0,83024,2022-03-18 12:16:57:930
0.03352,0.11492,9.79229,8.0,57.1202,,,,NaN,,,,0 / 0,83524,2022-03-18 12:16:58:430
0.03352,0.10534,9.80186,8.0,58.7073,,,,NaN,,,,0 / 0,84024,2022-03-18 12:16:58:930
0.03831,0.11971,9.78271,8.0,46.4,,,,NaN,,,,0 / 0,84524,2022-03-18 12:16:59:430
0.05267,0.10056,9.7444,8.0,52.6235,,,,NaN,,,,0 / 0,85024,2022-03-18 12:16:59:930
0.04788,0.10056,9.78271,8.0,52.7454,,,,NaN,,,,0 / 0,85524,2022-03-18 12:17:00:430
0.04788,0.09577,9.76834,8.0,50.8407,,,,NaN,,,,0 / 0,86024,2022-03-18 12:17:00:930
0.03831,0.12929,9.77792,8.0,61.8417,,,,NaN,,,,0 / 0,86524,2022-03-18 12:17:01:430
0.02394,0.10056,9.79707,8.0,57.2246,,,,NaN,,,,0 / 0,87024,2022-03-18 12:17:01:930
0.0431,0.14365,9.80186,8.0,49.2008,,,,NaN,,,,0 / 0,87523,2022-03-18 12:17:02:429
0.02394,0.1245,9.77792,8.0,56.3242,,,,NaN,,,,0 / 0,88023,2022-03-18 12:17:02:929
0.01915,0.0814,9.77792,8.0,60.8774,,,,NaN,,,,0 / 0,88523,2022-03-18 12:17:03:429
0.03352,0.11013,9.80665,8.0,60.5126,,,,NaN,,,,0 / 0,89024,2022-03-18 12:17:03:930
0.02873,0.11492,9.76355,8.0,54.6706,,,,NaN,,,,0 / 0,89524,2022-03-18 12:17:04:430
0.01915,0.11492,9.76355,8.0,60.3238,,,,NaN,,,,0 / 0,90024,2022-03-18 12:17:04:930
0.03352,0.07183,9.80186,8.0,46.0323,,,,NaN,,,,0 / 0,90524,2022-03-18 12:17:05:430
0.03352,0.11013,9.76834,8.0,44.7156,,,,NaN,,,,0 / 0,91024,2022-03-18 12:17:05:930
0.0431,0.11013,9.79707,8.0,52.9069,,,,NaN,,,,0 / 0,91524,2022-03-18 12:17:06:430
0.00479,0.12929,9.7875,8.0,53.1754,,,,NaN,,,,0 / 0,92024,2022-03-18 12:17:06:930
0.03831,0.11013,9.75398,8.0,50.6803,,,,NaN,,,,0 / 0,92524,2022-03-18 12:17:07:430
0.03352,0.10534,9.77792,8.0,51.5303,,,,NaN,,,,0 / 0,93024,2022-03-18 12:17:07:930
0.03352,0.1245,9.79229,8.0,50.0116,,,,NaN,,,,0 / 0,93524,2022-03-18 12:17:08:430
0.00479,0.13886,9.73482,8.0,52.541,,,,NaN,,,,0 / 0,94024,2022-03-18 12:17:08:930
0.01437,0.10056,9.76834,8.0,52.3592,,,,NaN,,,,0 / 0,94524,2022-03-18 12:17:09:430
0.03352,0.11492,9.79229,8.0,53.8612,,,,NaN,,,,0 / 0,95024,2022-03-18 12:17:09:930
0.02394,0.13408,9.76355,8.0,54.9369,,,,NaN,,,,0 / 0,95524,2022-03-18 12:17:10:430
0.03831,0.09098,9.76355,8.0,55.9935,,,,NaN,,,,0 / 0,96023,2022-03-18 12:17:10:929
